sets,artist,venue,month,day,year,song_num
El anillo,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,16
Waiting for Tonight,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,17
Dance Again,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,18
On the Floor,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,19
Let's Get Loud,Jennifer Lopez,"Xfinity Center, Mansfield, MA, USA",Jul,16,2019,20
Medicine,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,2
Get Right,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,3
Dinero,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,4
I'm Real,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,5
Ain't It Funny,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,6
Jenny From the Block,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,7
If You Had My Love,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,8
Girls,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,9
Booty,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,10
Gravity,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,11
Limitless / Titanium,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,12
Si una vez,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,13
Ain't Your Mama,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,14
All I Have,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,15
Te boté,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,16
Te gusté,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,17
El anillo,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,18
Waiting for Tonight,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,19
Dance Again,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,20
On the Floor,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,21
Let's Get Loud,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,15,2019,22
Medicine,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,13,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,13,2019,2
Get Right,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,13,2019,3
Dinero,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,13,2019,4
Medicine,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,2
Get Right,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,3
Dinero,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,4
I'm Real,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,5
Ain't That Funny,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,6
Jenny From the Block,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,7
If You Had My Love,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,8
Girls,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,9
Booty,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,10
Gravity,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,11
Limitless / Titanium,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,12
Ain't Your Mama,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,13
Te boté,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,14
Te gusté,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,15
El anillo,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,16
Waiting for Tonight,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,17
Dance Again,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,18
On the Floor,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,19
Let's Get Loud,Jennifer Lopez,"Madison Square Garden, New York, NY, USA",Jul,12,2019,20
Medicine,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,2
Get Right,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,3
Dinero,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,4
I'm Real,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,5
Ain't It Funny,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,6
Jenny From the Block,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,7
If You Had My Love / Girls,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,8
Booty,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,9
Gravity,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,10
Si una vez,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,11
Limitless / Titanium,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,12
Ain't Your Mama,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,13
All I Have,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,14
Te boté,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,15
Te gusté,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,16
El anillo,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,17
Waiting for Tonight,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,18
Dance Again,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,19
On the Floor,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,20
Let's Get Loud,Jennifer Lopez,"Centre Bell, Montreal, QC, Canada",Jul,10,2019,21
Live It Up,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,1
If You Had My Love,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,2
Jenny From the Block,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,3
I'm Real,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,4
Dinero,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,5
Get Right,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,6
Waiting for Tonight,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,7
All I Have,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,8
Booty,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,9
Dance Again,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,10
On the Floor,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,11
Love Don't Cost a Thing,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,12
Let's Get Loud,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,8,2019,13
Medicine,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,2
Get Right,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,3
Dinero,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,4
I'm Real,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,5
Ain't It Funny,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,6
Jenny From the Block,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,7
If You Had My Love / Girls,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,8
Booty,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,9
Gravity,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,10
Si una vez,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,11
Limitless / Titanium,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,12
Ain't Your Mama,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,13
All I Have,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,14
Te boté,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,15
Te gusté,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,16
El anillo,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,17
Goin' In,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,18
Waiting for Tonight,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,19
Dance Again,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,20
On the Floor,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,21
Let's Get Loud,Jennifer Lopez,"Scotiabank Arena, Toronto, ON, Canada",Jul,7,2019,22
Medicine,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,2
Get Right,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,3
Dinero,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,4
I'm Real,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,5
Ain't It Funny,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,6
Jenny From the Block,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,7
If You Had My Love,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,8
Girls,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,9
Booty,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,10
Gravity,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,11
Si una vez,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,12
Limitless / Titanium,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,13
Ain't Your Mama,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,14
All I Have,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,15
Te boté,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,16
Te gusté,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,17
El anillo,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,18
Waiting for Tonight,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,19
Dance Again,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,20
On the Floor,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,21
Let's Get Loud,Jennifer Lopez,"Little Caesars Arena, Detroit, MI, USA",Jul,5,2019,22
Medicine,Jennifer Lopez,"American Family Insurance Amphitheater, Milwaukee, WI, USA",Jul,3,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"American Family Insurance Amphitheater, Milwaukee, WI, USA",Jul,3,2019,2
Get Right,Jennifer Lopez,"American Family Insurance Amphitheater, Milwaukee, WI, USA",Jul,3,2019,3
Dinero,Jennifer Lopez,"American Family Insurance Amphitheater, Milwaukee, WI, USA",Jul,3,2019,4
